Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
11.70,-116.70127347,32.70961532,1944.00,0.00000,0.00000,0.00000
11.70,-116.70127347,32.70961532,1944.00,0.00000,0.00000,0.00000
11.70,-116.70127347,32.70961532,1944.00,0.00000,0.00000,0.00000
11.70,-116.69839035,32.72506627,1924.00,0.00000,0.00000,0.00000
11.70,-116.69839035,32.72506627,1924.00,0.00000,0.00000,0.00000
11.70,-116.69839035,32.72506627,1924.00,0.00000,0.00000,0.00000
11.70,-116.69839035,32.72506627,1924.00,0.00000,0.00000,0.00000
11.70,-116.69839035,32.72506627,1924.00,0.00000,0.00000,0.00000
11.70,-116.69839035,32.72506627,1924.00,0.00000,0.00000,0.00000
11.80,-116.69689539,32.73099513,1004.00,0.00000,0.00000,0.00000
11.80,-116.69689539,32.73099513,1004.00,0.00000,0.00000,0.00000
11.80,-116.69689539,32.73099513,1004.00,0.00000,0.00000,0.00000
11.80,-116.69689539,32.73099513,1004.00,0.00000,0.00000,0.00000
11.80,-116.69689539,32.73099513,1004.00,0.00000,0.00000,0.00000
11.80,-116.69689539,32.73099513,1004.00,0.00000,0.00000,0.00000
11.80,-116.70447694,32.71653232,1374.00,0.00000,0.00000,0.00000
11.80,-116.70447694,32.71653232,1374.00,0.00000,0.00000,0.00000
11.80,-116.70447694,32.71653232,1374.00,0.00000,0.00000,0.00000
11.80,-116.70447694,32.71653232,1374.00,0.00000,0.00000,0.00000
11.80,-116.70447694,32.71653232,1374.00,0.00000,0.00000,0.00000
11.80,-116.70447694,32.71653232,1374.00,0.00000,0.00000,0.00000
11.80,-116.70020565,32.72964766,-196.00,0.00000,0.00000,0.00000
11.80,-116.70020565,32.72964766,-196.00,0.00000,0.00000,0.00000
11.80,-116.70020565,32.72964766,-196.00,0.00000,0.00000,0.00000
11.80,-116.70020565,32.72964766,-196.00,0.00000,0.00000,0.00000
11.80,-116.70020565,32.72964766,-196.00,0.00000,0.00000,0.00000
11.80,-116.70020565,32.72964766,-196.00,0.00000,0.00000,0.00000
11.80,-116.70148704,32.70943566,1964.00,0.00000,0.00000,0.00000
11.80,-116.70148704,32.70943566,1964.00,0.00000,0.00000,0.00000
11.80,-116.70148704,32.70943566,1964.00,0.00000,0.00000,0.00000
11.80,-116.70148704,32.70943566,1964.00,0.00000,0.00000,0.00000
11.80,-116.70148704,32.70943566,1964.00,0.00000,0.00000,0.00000
11.80,-116.70148704,32.70943566,1964.00,0.00000,0.00000,0.00000
11.80,-116.69849713,32.72506627,1934.00,0.00000,0.00000,0.00000
11.80,-116.69849713,32.72506627,1934.00,0.00000,0.00000,0.00000
11.80,-116.69849713,32.72506627,1934.00,0.00000,0.00000,0.00000
11.80,-116.69849713,32.72506627,1934.00,0.00000,0.00000,0.00000
11.80,-116.69849713,32.72506627,1934.00,0.00000,0.00000,0.00000
11.80,-116.69849713,32.72506627,1934.00,0.00000,0.00000,0.00000
11.90,-116.69700218,32.73108496,1014.00,0.00000,0.00000,0.00000
11.90,-116.69700218,32.73108496,1014.00,0.00000,0.00000,0.00000
11.90,-116.69700218,32.73108496,1014.00,0.00000,0.00000,0.00000
11.90,-116.69700218,32.73108496,1014.00,0.00000,0.00000,0.00000
11.90,-116.69700218,32.73108496,1014.00,0.00000,0.00000,0.00000
11.90,-116.69700218,32.73108496,1014.00,0.00000,0.00000,0.00000
11.90,-116.70469051,32.71653232,1384.00,0.00000,0.00000,0.00000
11.90,-116.70469051,32.71653232,1384.00,0.00000,0.00000,0.00000
11.90,-116.70469051,32.71653232,1384.00,0.00000,0.00000,0.00000
11.90,-116.70469051,32.71653232,1384.00,0.00000,0.00000,0.00000
11.90,-116.70469051,32.71653232,1384.00,0.00000,0.00000,0.00000
11.90,-116.70469051,32.71653232,1384.00,0.00000,0.00000,0.00000
11.90,-116.70031243,32.72964766,-196.00,0.00000,0.00000,0.00000
